銘柄名,証券コード,上場区分,区分,購入時期,買値,売却入時期,売値,値幅,アップ率
東京急行電鉄(株),9005,東証1部,陸運業,2010年6月8日,354円買い,2010年8月19日,396円売り,42円,11.86%(1.12倍)
井関農機(株),6310,東証1部,機械,2010年11月2日,194円買い,2010年12月22日,217円売り,23円,11.86%(1.12倍)
協和発酵キリン(株),4151,東証1部,医薬品,2010年11月1日,776円買い,2010年12月6日,868円売り,92円,11.86%(1.12倍)
(株)中央倉庫,9319,東証1部,倉庫運輸関連,2010年10月25日,525円買い,2010年12月21日,587円売り,62円,11.81%(1.12倍)
(株)プレナス,9945,東証1部,小売業,2010年11月2日,1153円買い,2010年12月8日,1289円売り,136円,11.8%(1.12倍)
(株)丸運,9067,東証1部,陸運業,2010年11月2日,195円買い,2010年12月30日,218円売り,23円,11.79%(1.12倍)
(株)東京楽天地,8842,東証1部,不動産業,2010年11月2日,272円買い,2010年12月8日,304円売り,32円,11.76%(1.12倍)
新日本空調(株),1952,東証1部,建設業,2010年11月16日,451円買い,2010年12月22日,504円売り,53円,11.75%(1.12倍)
相鉄ホールディングス(株),9003,東証1部,陸運業,2010年11月19日,247円買い,2010年12月14日,276円売り,29円,11.74%(1.12倍)
(株)電算,3640,東証1部,情報・通信業,2010年11月1日,726.25円買い,2010年12月3日,811.25円売り,85円,11.7%(1.12倍)
王子ホールディングス(株),3861,東証1部,パルプ・紙,2010年10月4日,359円買い,2010年12月13日,401円売り,42円,11.7%(1.12倍)
(株)サンゲツ,8130,東証1部,卸売業,2010年11月24日,1726円買い,2010年12月16日,1927円売り,201円,11.65%(1.12倍)
日本紙パルプ商事(株),8032,東証1部,卸売業,2010年11月17日,266円買い,2010年12月14日,297円売り,31円,11.65%(1.12倍)
(株)フェリシモ,3396,東証1部,小売業,2010年11月2日,975円買い,2010年11月22日,1088円売り,113円,11.59%(1.12倍)
(株)ダスキン,4665,東証1部,サービス業,2010年10月27日,1390円買い,2010年12月17日,1550円売り,160円,11.51%(1.12倍)
(株)錢高組,1811,東証1部,建設業,2010年10月18日,122円買い,2010年11月25日,136円売り,14円,11.48%(1.11倍)
(株)サガミチェーン,9900,東証1部,小売業,2010年11月1日,462円買い,2010年12月29日,515円売り,53円,11.47%(1.11倍)
(株)平和堂,8276,東証1部,小売業,2010年9月16日,977円買い,2010年12月29日,1089円売り,112円,11.46%(1.11倍)
東京海上ホールディングス(株),8766,東証1部,保険業,2010年10月4日,2243円買い,2010年12月17日,2500円売り,257円,11.46%(1.11倍)
(株)滋賀銀行,8366,東証1部,銀行業,2010年10月28日,411円買い,2010年12月17日,458円売り,47円,11.44%(1.11倍)
(株)百十四銀行,8386,東証1部,銀行業,2010年10月28日,280円買い,2010年11月18日,312円売り,32円,11.43%(1.11倍)
(株)コロワイド,7616,東証1部,小売業,2010年11月17日,412円買い,2010年12月29日,459円売り,47円,11.41%(1.11倍)
キッコーマン(株),2801,東証1部,食料品,2010年11月4日,844円買い,2010年12月13日,940円売り,96円,11.37%(1.11倍)
(株)百五銀行,8368,東証1部,銀行業,2010年11月30日,326円買い,2010年12月17日,363円売り,37円,11.35%(1.11倍)
アステラス製薬(株),4503,東証1部,医薬品,2010年8月12日,572.6円買い,2010年10月19日,637円売り,64.4円,11.25%(1.11倍)
(株)池田泉州ホールディングス,8714,東証1部,銀行業,2010年10月29日,535円買い,2010年12月14日,595円売り,60円,11.21%(1.11倍)
日本エアーテック(株),6291,東証1部,機械,2010年11月4日,384円買い,2010年12月20日,427円売り,43円,11.2%(1.11倍)
京王電鉄(株),9008,東証1部,陸運業,2010年6月8日,545円買い,2010年7月28日,606円売り,61円,11.19%(1.11倍)
キリンホールディングス(株),2503,東証1部,食料品,2010年11月2日,1076円買い,2010年11月19日,1196円売り,120円,11.15%(1.11倍)
スルガ銀行(株),8358,東証1部,銀行業,2010年10月26日,700円買い,2010年12月17日,778円売り,78円,11.14%(1.11倍)
(株)壱番屋,7630,東証1部,小売業,2010年2月9日,2123円買い,2010年5月6日,2359円売り,236円,11.12%(1.11倍)
日本空調サービス(株),4658,東証1部,サービス業,2010年10月27日,337.5円買い,2010年12月24日,375円売り,37.5円,11.11%(1.11倍)
(株)アートネイチャー,7823,東証1部,その他製品,2010年11月16日,705円買い,2010年12月30日,783円売り,78円,11.06%(1.11倍)
(株)サカタのタネ,1377,東証1部,水産・農林業,2010年11月1日,1013円買い,2010年12月17日,1125円売り,112円,11.06%(1.11倍)
ブックオフコーポレーション(株),3313,東証1部,小売業,2010年10月28日,620円買い,2010年12月20日,688円売り,68円,10.97%(1.11倍)
(株)中国銀行,8382,東証1部,銀行業,2010年10月28日,914円買い,2010年12月16日,1014円売り,100円,10.94%(1.11倍)
(株)常陽銀行,8333,東証1部,銀行業,2010年7月21日,341円買い,2010年10月7日,378円売り,37円,10.85%(1.11倍)
燦ホールディングス(株),9628,東証1部,サービス業,2010年11月4日,1221円買い,2010年12月24日,1353円売り,132円,10.81%(1.11倍)
青木あすなろ建設(株),1865,東証1部,建設業,2010年10月22日,334円買い,2010年11月11日,370円売り,36円,10.78%(1.11倍)
アルフレッサ　ホールディングス(株),2784,東証1部,卸売業,2010年10月28日,3350円買い,2010年12月15日,3710円売り,360円,10.75%(1.11倍)
キーコーヒー(株),2594,東証1部,食料品,2010年11月2日,1347円買い,2010年12月15日,1491円売り,144円,10.69%(1.11倍)
(株)中村屋,2204,東証1部,食料品,2010年10月29日,375円買い,2010年12月6日,415円売り,40円,10.67%(1.11倍)
養命酒製造(株),2540,東証1部,食料品,2010年11月17日,731円買い,2010年12月28日,809円売り,78円,10.67%(1.11倍)
石油資源開発(株),1662,東証1部,鉱業,2010年11月9日,2865円買い,2010年12月14日,3170円売り,305円,10.65%(1.11倍)
(株)サイゼリヤ,7581,東証1部,小売業,2010年10月26日,1485円買い,2010年12月29日,1643円売り,158円,10.64%(1.11倍)
東京産業(株),8070,東証1部,卸売業,2010年11月2日,236円買い,2010年12月16日,261円売り,25円,10.59%(1.11倍)
(株)永谷園,2899,東証1部,食料品,2010年10月29日,779円買い,2010年12月17日,861円売り,82円,10.53%(1.11倍)
フジッコ(株),2908,東証1部,食料品,2010年11月2日,945円買い,2010年12月17日,1044円売り,99円,10.48%(1.1倍)
(株)ドトール・日レスホールディングス,3087,東証1部,小売業,2010年10月13日,1058円買い,2010年10月18日,1168円売り,110円,10.4%(1.1倍)
日本ヒューム(株),5262,東証1部,ガラス土石製品,2010年10月28日,233円買い,2010年12月8日,257円売り,24円,10.3%(1.1倍)
東京都競馬(株),9672,東証1部,サービス業,2010年10月28日,117円買い,2010年12月17日,129円売り,12円,10.26%(1.1倍)
(株)ホギメディカル,3593,東証1部,繊維製品,2010年10月15日,3620円買い,2010年12月29日,3990円売り,370円,10.22%(1.1倍)
日本石油輸送(株),9074,東証1部,陸運業,2010年10月28日,178円買い,2010年12月29日,196円売り,18円,10.11%(1.1倍)
ヨコレイ,2874,東証1部,卸売業,2010年11月4日,505円買い,2010年12月30日,556円売り,51円,10.1%(1.1倍)
(株)ファンケル,4921,東証1部,化学,2010年11月4日,1121円買い,2010年12月17日,1234円売り,113円,10.08%(1.1倍)
(株)三重銀行,8374,東証1部,銀行業,2010年10月28日,209円買い,2010年12月22日,230円売り,21円,10.05%(1.1倍)
(株)シモジマ,7482,東証1部,卸売業,2010年11月17日,1039円買い,2010年12月21日,1143円売り,104円,10.01%(1.1倍)
(株)みちのく銀行,8350,東証1部,銀行業,2010年11月30日,150円買い,2010年12月14日,165円売り,15円,10%(1.1倍)
中外製薬(株),4519,東証1部,医薬品,2010年11月1日,1403円買い,2010年11月22日,1543円売り,140円,9.98%(1.1倍)
ＳＰＫ(株),7466,東証1部,卸売業,2010年10月15日,1059円買い,2010年12月29日,1164円売り,105円,9.92%(1.1倍)
(株)広島銀行,8379,東証1部,銀行業,2010年10月28日,323円買い,2010年11月18日,355円売り,32円,9.91%(1.1倍)
(株)ＳＵＭＣＯ,3436,東証1部,金属製品,2010年12月10日,1103円買い,2010年12月28日,1212円売り,109円,9.88%(1.1倍)
マブチモーター(株),6592,東証1部,電気機器,2010年8月31日,3955円買い,2010年9月29日,4345円売り,390円,9.86%(1.1倍)
松竹(株),9601,東証1部,情報・通信業,2010年11月1日,497円買い,2010年12月14日,546円売り,49円,9.86%(1.1倍)
(株)南都銀行,8367,東証1部,銀行業,2010年10月27日,396円買い,2010年11月11日,435円売り,39円,9.85%(1.1倍)
富士通(株),6702,東証1部,電気機器,2010年11月24日,530円買い,2010年12月14日,582円売り,52円,9.81%(1.1倍)
富士急行(株),9010,東証1部,陸運業,2010年11月2日,410円買い,2010年11月8日,450円売り,40円,9.76%(1.1倍)
(株)ツムラ,4540,東証1部,医薬品,2010年10月28日,2426円買い,2010年12月21日,2660円売り,234円,9.65%(1.1倍)
クリエートメディック(株),5187,東証1部,精密機器,2010年11月1日,801円買い,2010年12月8日,878円売り,77円,9.61%(1.1倍)
東邦ガス(株),9533,東証1部,電気・ガス業,2010年10月13日,388円買い,2010年10月29日,425円売り,37円,9.54%(1.1倍)
(株)幸楽苑,7554,東証1部,小売業,2010年11月2日,1106円買い,2010年12月29日,1211円売り,105円,9.49%(1.09倍)
(株)トップカルチャー,7640,東証1部,小売業,2010年11月1日,338円買い,2010年12月2日,370円売り,32円,9.47%(1.09倍)
東洋埠頭(株),9351,東証1部,倉庫運輸関連,2010年11月2日,127円買い,2010年12月15日,139円売り,12円,9.45%(1.09倍)
森永製菓(株),2201,東証1部,食料品,2010年10月28日,180円買い,2010年12月14日,197円売り,17円,9.44%(1.09倍)
(株)トーホー,8142,東証1部,卸売業,2010年11月2日,286円買い,2010年12月29日,313円売り,27円,9.44%(1.09倍)
帝国通信工業(株),6763,東証1部,電気機器,2010年11月1日,181円買い,2010年12月15日,198円売り,17円,9.39%(1.09倍)
エーザイ(株),4523,東証1部,医薬品,2010年11月1日,2757円買い,2010年11月19日,3015円売り,258円,9.36%(1.09倍)
日本甜菜製糖(株),2108,東証1部,食料品,2010年11月16日,183円買い,2010年12月14日,200円売り,17円,9.29%(1.09倍)
(株)サンエー,2659,東証1部,小売業,2010年9月7日,1510円買い,2010年11月18日,1650円売り,140円,9.27%(1.09倍)
(株)第四銀行,8324,東証1部,銀行業,2010年10月26日,238円買い,2010年12月17日,260円売り,22円,9.24%(1.09倍)
丸善ＣＨＩホールディングス(株),3159,東証1部,小売業,2010年11月24日,272円買い,2010年12月10日,297円売り,25円,9.19%(1.09倍)
日水製薬(株),4550,東証1部,医薬品,2010年1月5日,650円買い,2010年5月14日,709円売り,59円,9.08%(1.09倍)
北興化学工業(株),4992,東証1部,化学,2010年11月2日,232円買い,2010年11月19日,253円売り,21円,9.05%(1.09倍)
セントラルスポーツ(株),4801,東証1部,サービス業,2010年5月27日,830円買い,2010年9月27日,905円売り,75円,9.04%(1.09倍)
(株)メディカルシステムネットワーク,4350,東証1部,小売業,2010年10月21日,146.5円買い,2010年11月12日,159.75円売り,13.25円,9.04%(1.09倍)
山崎製パン(株),2212,東証1部,食料品,2010年11月2日,918円買い,2010年12月15日,1001円売り,83円,9.04%(1.09倍)
(株)近鉄百貨店,8244,東証1部,小売業,2010年5月26日,133円買い,2010年12月14日,145円売り,12円,9.02%(1.09倍)
北陸電気工事(株),1930,東証1部,建設業,2010年10月28日,200円買い,2010年12月27日,218円売り,18円,9%(1.09倍)
伊藤忠食品(株),2692,東証1部,卸売業,2010年11月30日,2640円買い,2010年12月29日,2876円売り,236円,8.94%(1.09倍)
(株)鳥取銀行,8383,東証1部,銀行業,2010年10月29日,168円買い,2010年12月13日,183円売り,15円,8.93%(1.09倍)
東京ガス(株),9531,東証1部,電気・ガス業,2010年10月13日,349円買い,2010年11月1日,380円売り,31円,8.88%(1.09倍)
武田薬品工業(株),4502,東証1部,医薬品,2010年5月25日,3720円買い,2010年8月10日,4050円売り,330円,8.87%(1.09倍)
(株)日清製粉グループ本社,2002,東証1部,食料品,2010年11月1日,892.73円買い,2010年12月13日,971.82円売り,79.09円,8.86%(1.09倍)
名糖産業(株),2207,東証1部,食料品,2010年11月2日,1027円買い,2010年12月15日,1118円売り,91円,8.86%(1.09倍)
三菱食品(株),7451,東証1部,卸売業,2010年11月2日,1697円買い,2010年12月15日,1847円売り,150円,8.84%(1.09倍)
(株)モスフードサービス,8153,東証1部,卸売業,2010年11月1日,1415円買い,2010年12月15日,1540円売り,125円,8.83%(1.09倍)
日本電信電話(株),9432,東証1部,情報・通信業,2010年6月11日,3585円買い,2010年11月10日,3900円売り,315円,8.79%(1.09倍)
東宝(株),9602,東証1部,情報・通信業,2010年11月30日,1228円買い,2010年12月14日,1336円売り,108円,8.79%(1.09倍)
兼松エレクトロニクス(株),8096,東証1部,情報・通信業,2010年11月2日,765円買い,2010年12月30日,832円売り,67円,8.76%(1.09倍)
東邦ホールディングス(株),8129,東証1部,卸売業,2010年11月8日,1028円買い,2010年12月14日,1118円売り,90円,8.75%(1.09倍)
リゾートソリューション(株),5261,東証1部,サービス業,2010年10月28日,149円買い,2010年12月29日,162円売り,13円,8.72%(1.09倍)
(株)クスリのアオキ,3398,東証1部,小売業,2010年11月1日,805円買い,2010年12月15日,875円売り,70円,8.7%(1.09倍)
三信電気(株),8150,東証1部,卸売業,2010年11月2日,634円買い,2010年12月17日,689円売り,55円,8.68%(1.09倍)
参天製薬(株),4536,東証1部,医薬品,2010年11月8日,2706円買い,2010年12月14日,2939円売り,233円,8.61%(1.09倍)
(株)東北銀行,8349,東証1部,銀行業,2010年11月1日,128円買い,2010年11月10日,139円売り,11円,8.59%(1.09倍)
(株)ＪＭＳ,7702,東証1部,精密機器,2010年11月12日,268円買い,2010年12月22日,291円売り,23円,8.58%(1.09倍)
宝印刷(株),7921,東証1部,その他製品,2010年10月29日,634円買い,2010年12月15日,688円売り,54円,8.52%(1.09倍)
(株)田谷,4679,東証1部,サービス業,2010年10月28日,645円買い,2010年11月29日,699円売り,54円,8.37%(1.08倍)
三井製糖(株),2109,東証1部,食料品,2010年11月2日,288円買い,2010年12月21日,312円売り,24円,8.33%(1.08倍)
(株)大光銀行,8537,東証1部,銀行業,2010年11月30日,144円買い,2010年12月30日,156円売り,12円,8.33%(1.08倍)
焼津水産化学工業(株),2812,東証1部,食料品,2010年11月1日,797円買い,2010年12月20日,863円売り,66円,8.28%(1.08倍)
四国電力(株),9507,東証1部,電気・ガス業,2010年10月25日,2287円買い,2010年12月8日,2476円売り,189円,8.26%(1.08倍)
(株)アミューズ,4301,東証1部,サービス業,2010年11月1日,896円買い,2010年12月30日,970円売り,74円,8.26%(1.08倍)
(株)ドウシシャ,7483,東証1部,卸売業,2010年11月30日,901円買い,2010年12月15日,975円売り,74円,8.21%(1.08倍)
ＪＢＣＣホールディングス(株),9889,東証1部,情報・通信業,2010年11月2日,490円買い,2010年12月24日,530円売り,40円,8.16%(1.08倍)
キッセイ薬品工業(株),4547,東証1部,医薬品,2010年11月12日,1505円買い,2010年12月15日,1627円売り,122円,8.11%(1.08倍)
(株)ニチイ学館,9792,東証1部,サービス業,2010年11月2日,669円買い,2010年11月24日,723円売り,54円,8.07%(1.08倍)
(株)宮崎銀行,8393,東証1部,銀行業,2010年10月27日,201円買い,2010年12月17日,217円売り,16円,7.96%(1.08倍)
新京成電鉄(株),9014,東証1部,陸運業,2010年11月2日,327円買い,2010年12月16日,353円売り,26円,7.95%(1.08倍)
